Entry,Pfam
Q86X27,PF00617
O14949,PF02939
Q01995,PF00402
Q01995,PF00307
Q53LP3,PF12796
Q8IW03,PF03145
A6NMB1,PF07679
A6NMB1,PF07686
Q8IY18,PF02463
Q16559,PF00010
Q86UX6,PF00069
Q9UEE5,PF00069
Q96A49,PF03909
A6NKX4,PF00083
Q96CQ1,PF00153
Q8WUT9,PF00153
P37840,PF01387
Q03519,PF00664
Q03519,PF00005
Q8IXB3,PF04505
O14975,PF00501
O14975,PF13193
Q15569,PF07714
Q9UGI8,PF00412
Q9UGI8,PF06297
Q9H330,PF01594
A6NEH6,PF15444
Q9NWD8,PF14940
Q8NFU7,PF12851
Q8NFU7,PF02008
H0YL14,PF17685
Q6N021,PF12851
Q8TBM7,PF14934
Q8N2U0,PF04241
Q96IP4,PF07984
A0A087WTH1,PF04505
Q9UHP6,PF00514
Q658P3,PF03807
Q658P3,PF01794
Q5T0J7,PF15079
Q5VZQ5,PF15115
Q96HV5,PF09335
Q96LM6,PF15217
Q5BJD5,PF09335
Q53QW1,PF15727
Q8NA69,PF15373
H3BTG2,PF17671
Q96B21,PF04819
Q9UGM6,PF00579
O95807,PF05255
Q96M34,PF17819
Q8NBN3,PF06814
Q86UC2,PF06098
Q9HD45,PF02990
Q96EY4,PF11176
P32780,PF03909
P32780,PF08567
Q9NZI6,PF04516
Q9NZI6,PF18016
Q96DX4,PF00622
Q7Z402,PF07810
Q8IUE0,PF05920
Q92664,PF00096
Q9Y5Q8,PF09734
Q9Y5Q8,PF17682
P09110,PF02803
P09110,PF00108
Q00059,PF00505
Q00059,PF09011
Q9UM00,PF01956
Q7Z7H5,PF01105
Q9P0T7,PF05434
P82094,PF12329
P82094,PF12325
Q9BZD7,PF00594
Q8NEW7,PF16038
Q9NX95,PF15290
Q9BTV4,PF07787
Q969K7,PF12304
P08865,PF16122
P08865,PF00318
Q15468,PF15253
Q9BUB7,PF06979
Q6P5X7,PF15121
A0PK05,PF16054
Q96HE8,PF09799
Q9HCN3,PF12036
Q6ZNR0,PF04505
Q6UXU6,PF11669
P54577,PF00579
P54577,PF01588
Q8N0S2,PF15233
Q9P246,PF07647
Q9P246,PF16533
P57727,PF00057
P57727,PF15494
P57727,PF00089
Q9Y2Z4,PF00579
Q9HA77,PF01406
Q8IZU3,PF04803
Q17R31,PF01026
Q7Z4N2,PF00520
Q7Z4N2,PF18139
Q7Z4N2,PF16519
P60508,PF00429
O94804,PF00069
O94804,PF12474
Q7RTY8,PF00431
Q7RTY8,PF00057
Q7RTY8,PF01390
Q7RTY8,PF00089
Q7Z410,PF00057
Q7Z410,PF00089
Q86WS5,PF00089
Q15831,PF00069
Q5T4D3,PF08409
Q5T4D3,PF13181
Q71RG4,PF00240
Q8NE28,PF00069
Q9Y4A5,PF02259
Q9Y4A5,PF00454
A6NHL2,PF00091
A6NHL2,PF03953
P82673,PF10213
P82930,PF16053
P48307,PF00014
P04350,PF00091
P04350,PF03953
Q96C34,PF02759
Q9NQ88,PF00300
P60866,PF00338
Q9UKN7,PF00373
Q9UKN7,PF00612
Q9UKN7,PF00063
Q9UKN7,PF00784
Q9UKN7,PF07653
Q70IA8,PF03637
P22897,PF00040
P22897,PF00059
P22897,PF00652
Q86VX9,PF03164
A0A1W2PS18,PF04505
Q8ND90,PF14893
A6NI47,PF12796
Q02325,PF00024
Q9P1Y6,PF00628
Q9P1Y6,PF13639
P22626,PF00076
Q2M238,PF05327
A6NIN4,PF15451
A6NIN4,PF13445
Q6XPR3,PF01023
P60153,PF00074
Q7Z6M1,PF01344
Q7Z6M1,PF07646
Q8N0Z8,PF01416
Q9BRQ0,PF00628
A6NLU0,PF13765
A6NLU0,PF11002
A6NLU0,PF00622
O76081,PF00615
Q53FA7,PF08240
Q53FA7,PF00107
Q9H082,PF00071
O00391,PF04777
O00391,PF18371
O00391,PF18108
O00391,PF00085
Q96S21,PF00071
Q96S21,PF07525
Q8IUD2,PF10174
Q8IUD2,PF09457
Q13635,PF02460
P82980,PF00061
Q9UKA9,PF00076
Q9UKA9,PF11835
Q9UBZ9,PF16589
Q9UBZ9,PF00817
Q9UBZ9,PF11799
Q9UBZ9,PF16727
Q9UBZ9,PF14377
P48764,PF00999
Q9NZH4,PF04856
P10586,PF00041
P10586,PF07679
P10586,PF00102
P35498,PF00520
P35498,PF06512
P35498,PF11933
A6NJR5,PF11357
Q3KNW1,PF00096
Q8WVK2,PF08648
Q13077,PF16673
P09683,PF00123
B1AK76,PF07192
Q15629,PF08390
Q15629,PF03798
O00635,PF13765
O00635,PF00622
O00635,PF00643
P14373,PF13765
P14373,PF00622
P14373,PF00643
Q99985,PF07679
Q99985,PF01403
P60896,PF05160
Q9P283,PF01437
Q9P283,PF01403
Q9P283,PF00090
Q9NQ86,PF00041
Q9NQ86,PF00643
Q9NQ86,PF13445
Q9UPQ4,PF13765
Q9UPQ4,PF00622
Q9UPQ4,PF00643
Q969Q1,PF00643
Q969Q1,PF13445
Q9H3T3,PF01437
Q9H3T3,PF01403
O94964,PF14818
O94964,PF11365
Q9UJV3,PF18568
Q9UJV3,PF00622
Q9UJV3,PF00643
Q9UJV3,PF13445
Q9C026,PF00041
Q9C026,PF00622
Q9C026,PF00643
Q06945,PF00505
Q9BT81,PF00505
Q9BT81,PF12067
P11277,PF00307
P11277,PF00435
Q96JI7,PF14649
P01375,PF00229
Q7RTT9,PF01733
Q53EL9,PF00431
Q53EL9,PF00084
P0CK97,PF03151
Q9C0B7,PF10363
Q9C0B7,PF10304
Q13435,PF04037
Q13435,PF04046
Q13435,PF02037
Q15393,PF03178
P19237,PF00992
Q5T1Q4,PF06027
Q8IY50,PF00892
Q9H0K1,PF00069
P13805,PF00992
Q92973,PF03810
K7EJ46,PF15831
Q9H2H9,PF01490
P0DJ93,PF15938
Q9Y5L0,PF08389
Q9H4F1,PF00777
Q8N3H0,PF12020
Q9Y286,PF13895
Q9Y286,PF07686
Q8WU79,PF01412
P21453,PF00001
A6NK97,PF00083
Q8IZD6,PF00083
O14828,PF04144
Q3SY17,PF00153
Q9H1U9,PF00153
P52630,PF00017
P52630,PF12188
P52630,PF01017
P52630,PF02864
P52630,PF02865
Q7LBE3,PF01740
Q7LBE3,PF00916
P50443,PF01740
P50443,PF00916
Q9NSY2,PF01852
Q9BTF0,PF02926
Q9BTF0,PF01170
Q9P016,PF01878
P35269,PF05793
Q3ZCM7,PF00091
Q3ZCM7,PF03953
Q13277,PF05739
Q13277,PF00804
Q9C0E2,PF08767
Q16623,PF05739
Q16623,PF00804
Q6P1K8,PF07975
Q6P1K8,PF04056
Q13009,PF00595
Q13009,PF00169
Q13009,PF02196
Q13009,PF00621
Q13009,PF18385
Q9NYW4,PF05296
Q9BQ70,PF04910
P24557,PF00067
P13385,PF09443
Q5TF39,PF07690
Q08AI8,PF03281
Q96EY5,PF10240
Q03014,PF00046
P17693,PF07654
P17693,PF00129
P32881,PF00143
Q9NSI5,PF07679
Q7Z794,PF00038
Q7Z794,PF16208
Q14005,PF00595
Q6UXK5,PF07679
Q6UXK5,PF13855
Q9GZP8,PF15761
Q05315,PF00337
A1E959,PF15424
Q02747,PF02058
Q96GA3,PF04180
Q9NQ29,PF03194
A8MSI8,PF05347
Q86UE4,PF15686
O00624,PF07690
Q9HBI1,PF00307
Q8NHW6,PF15182
P18669,PF00300
Q9UHJ9,PF10277
O00151,PF15936
O00151,PF00412
O00151,PF00595
P19338,PF00076
O95848,PF00293
O43490,PF05478
Q15599,PF09007
Q15599,PF00595
Q15599,PF17820
Q9BUH6,PF15384
Q7RTS5,PF03189
Q92786,PF05044
Q9BVG4,PF04669
Q96NY9,PF02732
Q9BZD4,PF03800
Q7Z6L0,PF04505
Q6MZQ0,PF08539
P79522,PF00642
Q9NZG7,PF04923
Q7RTY5,PF00089
Q9Y5G4,PF00028
Q9Y5G4,PF08266
Q9Y5G4,PF16492
Q9Y5G4,PF15974
P26717,PF00059
O95096,PF00046
Q13287,PF07334
Q13287,PF07292
P78562,PF01431
P78562,PF05649
O14818,PF00227
O14818,PF10584
P02144,PF00042
Q86TC9,PF07679
Q6DT37,PF00130
Q6DT37,PF00780
Q6DT37,PF08826
Q6DT37,PF00069
Q9HD47,PF04603
Q9Y4I1,PF01843
Q9Y4I1,PF00612
Q9Y4I1,PF00063
O14974,PF12796
O14974,PF15898
P40967,PF00801
Q9UL19,PF04970
P61225,PF00071
Q9H0A9,PF15059
Q9H0A9,PF15058
Q495Y7,PF11357
Q9Y6Q6,PF18278
Q9Y6Q6,PF00020
Q14190,PF00989
Q14190,PF08447
Q14190,PF06621
Q8TF17,PF00018
Q9HAV5,PF00020
Q9H2J7,PF00209
Q9GZN6,PF00209
O75494,PF00076
A6NKF1,PF03399
Q9BQI5,PF10291
Q01130,PF00076
O14492,PF00169
O14492,PF08916
O14492,PF00017
P11387,PF14370
P11387,PF01028
P11387,PF02919
O43147,PF12068
O43147,PF00566
O43147,PF02759
A6NDD5,PF04505
Q96B97,PF14604
Q02880,PF00204
Q02880,PF00521
Q02880,PF08070
Q02880,PF02518
Q02880,PF01751
Q02880,PF16898
P11388,PF00204
P11388,PF00521
P11388,PF08070
P11388,PF02518
P11388,PF01751
P11388,PF16898
Q8TBG9,PF01284
Q96PX8,PF13855
Q86TJ2,PF00249
P62304,PF01423
Q16890,PF04201
O75897,PF00685
Q16384,PF01352
Q16384,PF09514
Q9BVV6,PF15324
O94966,PF04969
O94966,PF00443
O94966,PF01753
P62753,PF01092
Q9P273,PF06484
Q9P273,PF15636
Q96AQ2,PF15109
Q9NQH7,PF05195
Q9NQH7,PF00557
P00749,PF00051
P00749,PF00089
Q8TD20,PF00083
P45984,PF00069
Q5S007,PF16095
Q5S007,PF13855
Q5S007,PF00069
P53778,PF00069
P09382,PF00337
P49895,PF00837
Q9BVC4,PF00400
Q9H0H0,PF14750
Q9UBP9,PF00640
Q9NV88,PF10996
Q9NV88,PF16661
P01715,PF07686
Q92886,PF00010
P35913,PF01590
P35913,PF00233
P53384,PF10609
Q96HS1,PF00300
Q96IV0,PF04721
Q96IV0,PF09409
Q96IV0,PF01841
Q96GW7,PF00008
Q96GW7,PF00059
Q96GW7,PF00084
Q96GW7,PF07686
Q96GW7,PF00193
O43614,PF00001
O43614,PF03827
Q8WWY3,PF01798
Q8WWY3,PF09785
Q9UHK0,PF10453
Q9UHK0,PF12171
P52945,PF00046
Q6KC79,PF12765
Q6KC79,PF12830
Q9UN72,PF00028
Q9UN72,PF08266
Q9UN72,PF15974
Q32P28,PF13640
Q9Y2I1,PF00787
Q86WB0,PF08600
Q86WB0,PF07967
Q9Y5H3,PF00028
Q9Y5H3,PF08266
Q9Y5H3,PF16492
Q9Y5H3,PF15974
Q9Y5G6,PF00028
Q9Y5G6,PF08266
Q9Y5G6,PF16492
Q9Y5G6,PF15974
Q96P20,PF14484
Q96P20,PF13516
Q96P20,PF05729
Q96P20,PF17776
Q96P20,PF17779
Q96P20,PF02758
Q8WW12,PF15473
P51956,PF00069
Q96EP9,PF01758
Q9NPC6,PF05556
Q9H3V2,PF04103
P35250,PF00004
P35250,PF08542
Q06141,PF00059
Q8WWW0,PF00130
Q8WWW0,PF16517
Q8WWW0,PF00788
Q9H2L5,PF16517
Q9H2L5,PF00788
Q8IV42,PF08433
P84098,PF01280
P49756,PF01480
P49756,PF00076
A8MWD9,PF01423
Q9UP95,PF00324
Q9UP95,PF03522
Q9UDX3,PF00650
Q16348,PF00854
Q9NY91,PF00474
Q4U2R8,PF00083
Q9H0W8,PF10220
Q5JRV8,PF14967
Q6ICC9,PF16297
P59538,PF05296
O00186,PF00995
P61764,PF00995
Q7Z2Z1,PF15292
Q96EM0,PF05544
Q59EK9,PF02759
Q96DN5,PF00566
P53597,PF02629
P53597,PF00549
Q9UJJ7,PF00849
Q9UL62,PF12796
Q9UL62,PF00520
Q9UL62,PF08344
Q15849,PF03253
Q9P2Y5,PF10186
Q8TBB0,PF05485
Q6YHU6,PF10350
Q8NA92,PF05485
Q8N7M0,PF03645
Q8WW35,PF03645
Q9H3H9,PF04538
P50990,PF00118
P13010,PF02735
P13010,PF03730
P13010,PF03731
P13010,PF08785
A0AVT1,PF16191
A0AVT1,PF16190
A0AVT1,PF09358
A0AVT1,PF00899
A0AVT1,PF10585
P63146,PF00179
Q86Y38,PF02485
Q86Y38,PF12529
P0CB47,PF00505
Q7Z2X4,PF14719
Q06416,PF00046
Q06416,PF00157
P68402,PF13472
Q9Y239,PF00619
Q9Y239,PF13516
Q9Y239,PF05729
Q9Y239,PF17776
Q9Y239,PF17779
Q9BVI4,PF03914
Q9Y3T9,PF03715
Q53EL6,PF02847
Q9Y2G5,PF10250
P39656,PF03345
Q86UW1,PF03619
A6NI15,PF00010
Q8WUY8,PF00583
P41271,PF03045
Q9H999,PF03630
O60934,PF00498
O60934,PF08599
O60934,PF16508
Q96RD6,PF00876
P0DPF3,PF06758
Q8TBE9,PF13419
O14594,PF00008
O14594,PF00059
O14594,PF00084
O14594,PF07686
O14594,PF00193
O43678,PF05047
Q14919,PF00808
P0DKB6,PF03650
Q15008,PF01399
Q15008,PF10602
Q9BZ95,PF17907
Q9BZ95,PF17982
Q9BZ95,PF00855
Q9BZ95,PF00856
Q8TCD5,PF06941
P29590,PF12126
P29590,PF00643
Q13163,PF00564
Q13163,PF00069
Q9Y3A3,PF03637
Q9P212,PF00168
Q9P212,PF09279
Q9P212,PF00388
Q9P212,PF00387
Q9P212,PF00788
Q9P212,PF00617
Q15771,PF00071
Q14644,PF00779
Q14644,PF00168
Q14644,PF00169
Q14644,PF00616
P46783,PF03501
Q7Z4M0,PF15165
A1KZ92,PF03098
A1KZ92,PF07679
A1KZ92,PF13855
A1KZ92,PF00093
O75154,PF09457
Q00765,PF03134
Q9H4X1,PF15151
O75787,PF07850
P14927,PF02271
Q15493,PF08450
Q96PU8,PF00013
Q96PU8,PF16551
Q96PU8,PF16544
Q8IWU6,PF12548
Q8IWU6,PF00884
P14868,PF00152
P14868,PF01336
Q9UQD0,PF00520
Q9UQD0,PF00612
Q9UQD0,PF06512
Q9UQD0,PF11933
P57086,PF02023
Q9BWG6,PF15805
Q9BWG6,PF15803
O00300,PF00531
O00300,PF00020
Q86UD5,PF00999
P55854,PF11976
Q15464,PF00017
Q8N9V7,PF14669
P51172,PF00858
Q9Y512,PF01103
P47897,PF00749
P47897,PF03950
P47897,PF04558
P47897,PF04557
P51170,PF00858
Q9NP50,PF15396
O14656,PF06309
Q8NEM2,PF13229
Q5JU69,PF06309
Q8N6K7,PF00536
Q13291,PF06214
Q9Y5X3,PF00787
Q9Y5X3,PF09325
Q8IZQ5,PF10262
Q9NQ36,PF12662
Q9NQ36,PF00431
Q9NQ36,PF12947
Q9NQ36,PF07645
Q9NQ36,PF07699
Q8IWY4,PF12662
Q8IWY4,PF00431
Q8IWY4,PF12947
Q8IWY4,PF07645
Q8IWY4,PF07699
Q9BQI6,PF12796
Q9BQI6,PF16770
O94933,PF13855
Q9Y3F1,PF15789
Q9H5Y7,PF13855
O15524,PF00017
O15524,PF07525
Q2M3C7,PF05716
O14804,PF00001
O14512,PF00017
O14512,PF07525
P0DKB5,PF13855
P07197,PF00038
P07197,PF04732
Q9Y6F6,PF05781
Q2M296,PF01812
Q2M296,PF00076
Q9HAU5,PF02854
Q9HAU5,PF04050
Q9H628,PF00071
P57771,PF00615
Q8WU10,PF07992
Q8WU10,PF18267
Q8N4Q0,PF08240
Q8N4Q0,PF00107
A8MU46,PF00307
P61278,PF03002
Q86W33,PF10160
Q16613,PF00583
Q9C093,PF06294
Q9NQ25,PF07686
O76038,PF13202
O76038,PF13499
P57768,PF00787
Q15036,PF00787
Q15036,PF18116
Q969T3,PF00787
Q96RF0,PF10456
Q96RF0,PF00787
Q96RF0,PF14604
Q9H3E2,PF08628
Q9H3E2,PF00787
Q9H3E2,PF02194
Q9H3E2,PF00615
Q8TEQ0,PF00787
Q8TEQ0,PF02759
Q9NRA0,PF00781
Q14108,PF01130
O75711,PF15224
Q12765,PF03577
Q9Y5X2,PF00787
Q9UNH6,PF00787
P47872,PF00002
P47872,PF02793
O94956,PF03137
Q96BD0,PF07648
Q96BD0,PF03137
Q9H2Y9,PF07648
Q9H2Y9,PF03137
Q6P589,PF05527
O75908,PF03062
O43291,PF00014
A7XYQ1,PF15279
Q9UHJ6,PF00370
Q9UL12,PF01266
Q9UL12,PF16350
Q9UL12,PF01571
Q9UL12,PF08669
Q8WXH5,PF00017
Q8WXH5,PF12610
Q8WXH5,PF07525
P49591,PF02403
P49591,PF00587
P03986,PF07654
A0A0C4DH27,PF07686
Q99603,PF07686
Q9BUA3,PF18658
P18827,PF01034
Q9C019,PF13765
Q9C019,PF00622
Q9C019,PF00643
Q9C019,PF13445
O95361,PF13765
O95361,PF00622
O95361,PF00643
P59797,PF10262
Q9H3T2,PF01403
Q9UPN9,PF00439
Q9UPN9,PF00628
Q9UPN9,PF00643
Q9UPN9,PF13445
Q02383,PF05474
P21912,PF13085
Q9BYE4,PF14820
Q9NX18,PF03937
Q58EX2,PF00041
Q58EX2,PF07679
Q9NUQ6,PF07139
Q6PJ21,PF00622
P49908,PF04593
P49908,PF04592
Q8NB59,PF00168
Q07890,PF00125
Q07890,PF00169
Q07890,PF00617
Q07890,PF00618
Q07890,PF00621
Q07889,PF00125
Q07889,PF00169
Q07889,PF00617
Q07889,PF00618
Q07889,PF00621
Q96N96,PF00169
Q96N96,PF00621
Q96N96,PF00018
Q8WYJ6,PF00735
Q92748,PF07084
Q7Z4G4,PF01170
Q6X4U4,PF05463
Q9BQB4,PF05463
A6NGB0,PF15194
Q96Q11,PF01743
Q96Q11,PF12627
Q96L03,PF00612
Q5TEA6,PF08238
Q96GJ1,PF05958
O43175,PF00389
O43175,PF02826
O00570,PF00505
O00570,PF12336
Q9P0Z9,PF01266
Q9H930,PF00439
Q9H930,PF03172
Q9H930,PF00628
Q9H930,PF01342
Q9Y6N5,PF07992
Q9BVQ7,PF00004
Q9BVQ7,PF17862
Q86WD7,PF00079
Q9P0W8,PF15244
Q9UHR5,PF07818
Q86TD4,PF00350
Q86TD4,PF16880
P01374,PF00229
Q9UKE5,PF00780
Q9UKE5,PF00069
Q8WXA9,PF00076
Q8WUX1,PF01490
Q495M3,PF01490
O75044,PF00611
O75044,PF00620
O75044,PF00018
P49458,PF05486
Q9BRY0,PF02535
Q7Z2V1,PF15765
P50616,PF07742
Q9BY07,PF07565
Q9BY07,PF00955
Q12872,PF09750
Q12872,PF01805
P61619,PF10559
P61619,PF00344
Q96PL1,PF01099
Q96CW6,PF08574
Q8N196,PF00046
Q8N196,PF16878
Q13242,PF00076
O60784,PF03127
O60784,PF00790
Q96HA7,PF12796
Q96HA7,PF13516
Q96HA7,PF13181
P84550,PF08782
P84550,PF02437
Q96I59,PF00152
Q96I59,PF01336
Q13309,PF12937
Q8NBK3,PF03781
P16455,PF01035
P16455,PF02870
Q99735,PF01124
O75145,PF00536
O75145,PF07647
Q96N66,PF03062
P01569,PF00143
O14880,PF01124
Q04759,PF00130
Q04759,PF00069
Q04759,PF00433
Q8WW33,PF05253
Q9UIG4,PF15356
Q96S96,PF01161
Q9BQ51,PF08205
P0DPQ3,PF15708
Q5VTL8,PF03371
Q8IVF1,PF12881
Q9P0S3,PF04061
Q9BXD5,PF00701
P56589,PF04882
Q9BR26,PF07782
Q06495,PF02690
O95436,PF02690
P15559,PF02525
P22059,PF01237
P22059,PF00169
Q8WVF1,PF10188
Q9NPF4,PF00814
O75665,PF16045
Q8WUM0,PF03177
Q6UX06,PF02191
Q8TB73,PF10179
Q9UHY1,PF07714
Q96F24,PF08961
Q96F24,PF17169
O95182,PF07347
O43674,PF09781
Q9NXK6,PF03006
Q86WK9,PF03006
Q9P032,PF06784
Q13508,PF01129
P11464,PF13895
P11464,PF07686
Q6PIU2,PF07859
P19878,PF00564
P19878,PF00018
P19878,PF13181
Q8NHV4,PF00400
Q16612,PF11092
Q9ULV0,PF01843
Q9ULV0,PF00612
Q9ULV0,PF00063
Q9UH03,PF00735
Q9UPS6,PF11764
Q9UPS6,PF00076
Q9UPS6,PF00856
Q86VV8,PF14726
Q86U17,PF00079
Q86W54,PF15175
Q9NRH3,PF00091
Q9NRH3,PF03953
Q9BYW2,PF17907
Q9BYW2,PF00856
Q9BYW2,PF08236
Q9BYW2,PF00397
O75391,PF01424
Q15637,PF00013
Q15637,PF16275
Q15637,PF00098
Q9UBP0,PF00004
Q9UBP0,PF17862
Q9UBP0,PF09336
Q12874,PF11931
Q12874,PF16837
Q12874,PF12108
Q5VVP1,PF15371
Q5VVP1,PF14650
Q9HAS3,PF07670
Q9HAS3,PF07662
Q9HAS3,PF01773
Q9H2K2,PF00023
Q9H2K2,PF12796
Q9H2K2,PF00644
Q9H2K2,PF07647
Q8IY81,PF11861
Q8IY81,PF01728
Q8IY81,PF07780
P48594,PF00079
Q9BWJ5,PF07189
P32971,PF00229
Q9HA92,PF06969
Q9HA92,PF04055
Q7Z3B0,PF15086
Q08AI6,PF01490
P45378,PF00992
A6NNN8,PF01490
Q96JW4,PF01769
Q9NUM3,PF02535
Q86VL8,PF01554
Q8IYB3,PF01480
Q9H1V8,PF00209
Q5JTV8,PF05609
P48065,PF00209
P41252,PF08264
P41252,PF00133
O00141,PF00069
O00141,PF00433
Q13247,PF00076
Q9UIU6,PF00046
Q9UIU6,PF16878
Q15785,PF00515
Q9BX95,PF01569
Q96BD8,PF07160
Q15424,PF00076
Q15424,PF02037
Q9Y2Z0,PF04969
Q9Y2Z0,PF05002
Q99961,PF03114
Q99961,PF00018
Q8TEC5,PF00018
Q8TEC5,PF07653
Q8TEC5,PF14604
Q8TEC5,PF13445
Q5JR98,PF03645
Q8WYL5,PF08766
Q8WYL5,PF00782
Q7Z6J0,PF00018
Q7Z6J0,PF14604
Q7Z6J0,PF00097
Q9UNL2,PF07074
P30872,PF00001
Q96NU1,PF07647
Q5VXU9,PF17825
Q9ULL8,PF08687
Q9ULL8,PF00595
A6NI61,PF12036
O15374,PF07690
Q13613,PF02893
Q13613,PF06602
Q13506,PF04902
Q13506,PF04904
Q13506,PF04905
P55157,PF01347
Q00G26,PF03036
O00168,PF02038
Q8N3S3,PF12129
Q6ZV29,PF00027
Q6ZV29,PF01734
P63132,PF00552
P63132,PF02022
P63132,PF00075
P63132,PF00665
P63132,PF00078
P63132,PF06817
Q6T4P5,PF01569
P48426,PF01504
Q8TEM1,PF02368
P43121,PF08205
P43121,PF00047
P43121,PF07686
Q9UJF2,PF00168
Q9UJF2,PF12004
Q9UJF2,PF00616
Q9ULC0,PF07010
P42356,PF00454
P42356,PF00613
Q8N7G0,PF00046
Q8N7G0,PF00157
O75928,PF14324
O75928,PF02891
Q9P215,PF09607
Q9P215,PF03184
Q9P215,PF03221
Q9P215,PF01352
Q15735,PF03372
Q15735,PF17751
P13796,PF00307
P13796,PF13499
Q9QC07,PF02022
Q9QC07,PF00075
Q9QC07,PF00665
Q9QC07,PF00078
Q9QC07,PF06817
P63133,PF00552
P63133,PF02022
P63133,PF00075
P63133,PF00665
P63133,PF00078
P63133,PF06817
Q13492,PF07651
Q13505,PF17171
Q13505,PF10568
Q9NRD5,PF06456
Q9NRD5,PF00595
Q9HB75,PF00531
Q9HB75,PF13855
Q9HB75,PF10461
Q9HB75,PF00791
Q92508,PF15917
Q92508,PF12166
P13686,PF00149
B2RC85,PF02493
P37287,PF00534
P37287,PF08288
P24666,PF01451
Q92535,PF06432
Q5H8A4,PF01663
Q9Y2B2,PF02585
O95427,PF01663
O95427,PF04987
P11117,PF00328
P15309,PF00328
P01833,PF07686
Q07869,PF00104
Q07869,PF00105
P37231,PF00104
P37231,PF12577
P37231,PF00105
Q8TBF5,PF08320
Q9NQM4,PF18201
P05186,PF00245
P48147,PF00326
P48147,PF02897
Q86V86,PF00069
Q9NQ50,PF09812
O14829,PF13499
O14829,PF00612
O14829,PF00149
O14829,PF08321
O14830,PF13499
O14830,PF00149
O14830,PF08321
Q9Y6G3,PF10210
Q9H2W6,PF11788
P45877,PF00160
Q13405,PF05046
O75051,PF08337
O75051,PF01437
O75051,PF01403
O75051,PF01833
O75051,PF18020
O75051,PF17960
O43447,PF00160
P51805,PF08337
P51805,PF01437
P51805,PF01403
P51805,PF01833
P51805,PF18020
P51805,PF17960
Q9Y3C6,PF00160
Q9HCM2,PF08337
Q9HCM2,PF01437
Q9HCM2,PF01403
Q9HCM2,PF01833
Q9HCM2,PF18020
Q9HCM2,PF17960
Q96BK5,PF01585
Q9ULL4,PF08337
Q9ULL4,PF01437
Q9ULL4,PF01403
Q9ULL4,PF01833
Q9ULL4,PF18020
Q9ULL4,PF17960
Q9Y4D7,PF08337
Q9Y4D7,PF01437
Q9Y4D7,PF01403
Q9Y4D7,PF01833
Q9Y4D7,PF17960
O43586,PF00611
O43586,PF14604
Q00169,PF02121
Q13401,PF01352
Q7Z3Z3,PF02170
Q7Z3Z3,PF02171
Q96J94,PF08699
Q96J94,PF05831
Q96J94,PF02170
Q96J94,PF02171
Q5K4E3,PF00089
P53041,PF00149
P53041,PF08321
P53041,PF00515
P50336,PF01593
Q5T8A7,PF15740
Q9ULM0,PF00373
Q9ULM0,PF00784
Q9ULM0,PF00169
Q9HAU0,PF00169
Q9HAU0,PF00397
Q6NYC8,PF13914
Q6NYC8,PF13916
Q8NFJ6,PF00001
Q16513,PF02185
Q16513,PF00069
Q16513,PF00433
Q9Y6A1,PF02815
Q9Y6A1,PF02366
Q9Y6A1,PF16192
Q9Y3P4,PF01694
Q9Y3P4,PF00627
Q92730,PF00071
P61587,PF00071
P52198,PF00071
Q9H310,PF00909
O75783,PF01694
Q9Y3C5,PF13639
O94844,PF00651
O94844,PF00071
P61927,PF01907
Q9BYZ6,PF00651
Q9BYZ6,PF00071
Q96E14,PF16100
O94955,PF00651
O94955,PF00071
P18577,PF00909
Q9UBS8,PF01485
Q9UBS8,PF05773
Q9UBD6,PF00909
Q96EP0,PF18091
Q96EP0,PF16678
Q96EP0,PF01485
Q96EP0,PF09409
Q96EP0,PF18486
P48645,PF02070
Q16816,PF00069
Q99551,PF02536
Q6XQN6,PF17956
Q6XQN6,PF17767
Q96J65,PF00664
Q96J65,PF00005
Q14149,PF17942
Q14149,PF07496
P19174,PF00168
P19174,PF00388
P19174,PF00387
P19174,PF00017
P19174,PF00018
Q15111,PF00168
Q15111,PF09279
Q15111,PF16457
Q15111,PF00388
Q15111,PF00387
P28074,PF00227
Q96BF6,PF10523
Q96BF6,PF00651
Q9H4B4,PF00069
Q9H4B4,PF00659
Q9UL25,PF00071
Q02127,PF01180
P29762,PF00061
Q9UJV8,PF04845
Q92878,PF13476
Q92878,PF04423
P62244,PF00410
P46776,PF00828
Q06609,PF08423
Q8N1G1,PF15870
P30050,PF00298
P30050,PF03946
P60484,PF00782
P60484,PF10409
P25800,PF00412
A6NEQ0,PF08081
A6NEQ0,PF00076
P06400,PF11934
P06400,PF01858
P06400,PF01857
P06400,PF08934
P78406,PF00400
P18754,PF00415
A6NED2,PF00415
P04049,PF00130
P04049,PF07714
P04049,PF02196
Q9HB40,PF00450
P55895,PF03089
P55895,PF13341
Q9Y5P3,PF15279
P54725,PF00627
P54725,PF00240
P54725,PF09280
P62834,PF00071
Q9H0K6,PF01142
Q9HBH5,PF00106
Q6UX71,PF01437
Q86Y79,PF01195
Q8WUK0,PF00782
Q2TAY7,PF00400
A6NNV3,PF11357
Q9BPW5,PF00071
P63165,PF11976
O43623,PF00096
P56180,PF00782
P56180,PF10409
Q12824,PF04855
P55809,PF01144
O75971,PF15497
O75940,PF06003
Q15035,PF08390
Q15035,PF03798
Q9H4I8,PF00561
Q9UDY6,PF13765
Q9UDY6,PF00622
Q9UDY6,PF00643
O94972,PF00917
