	entry_ac	architecture
5894	O75762	PF00520;PF12796
5895	Q99595	
5896	P49221	PF00868;PF00927;PF01841
5897	Q15833	PF00995
5898	Q6B0B8	PF03184;PF03221;PF04218
5899	P49788	PF06907
5900	P08708	PF00833
5901	Q8TBR7	PF03798
5902	Q3Y452	
5903	O60522	PF00567
5904	Q5T750	
5905	O43592	PF03810;PF08389
5906	Q6ZQT7	PF15788
5907	P0C879	
5908	P07911	PF00100;PF07645;PF12947
5909	Q8IZH2	PF03159;PF17846;PF18129;PF18332;PF18334
5910	P16989	PF00313
5911	A6XGL0	PF03853
5912	O60763	PF04869;PF04871;PF18770
5913	P56703	PF00110
5914	A0A087WT01	PF07686
5915	P35125	PF00443;PF00566
5916	Q9C0D0	PF02755
5917	Q8NFZ3	PF00135
5918	Q9HB89	PF00001
5919	Q9H6A9	PF05041
5920	Q8NC60	PF01926
5921	Q9H3D4	PF00870;PF07647;PF07710
5922	Q9HC29	PF00619;PF05729;PF13516;PF17776;PF17779
5923	Q8WWZ8	PF00100
5924	Q6PF18	PF02493
5925	O15091	PF16953
5926	Q8N7P1	PF13918
5927	A0A0A6YYL3	PF12796;PF14915
5928	O15067	PF02769;PF18072;PF18076
5929	P50749	PF00788;PF16517
5930	A0A1B0GWK0	PF13499
5931	Q8TE99	PF00328
5932	P15927	PF08784
5933	O43374	PF00168;PF00169;PF00616;PF00779
5934	Q5JQD4	PF00159
5935	Q5R372	PF00566;PF12473
5936	P50914	PF01929
5937	Q9BX46	PF00076
5938	Q9HD43	PF00041;PF00102
5939	P29558	PF00076
5940	O14522	PF00041;PF00102;PF00629
5941	Q96S79	PF00071
5942	Q9UHX1	PF00076
5943	Q92737	PF00071
5944	Q9NY72	PF07686
5945	Q9H115	
5946	Q8WV19	PF04178
5947	Q96JT2	PF07690
5948	A6NNA2	PF08312;PF15230
5949	Q9BXP5	PF04959;PF12066
5950	Q7Z769	PF03151
5951	Q9UBS9	PF07738
5952	O95475	PF00046;PF16878
5953	Q8TDM5	PF00021
5954	Q9NZJ4	PF00240;PF05168
5955	Q14151	PF00076;PF02037
5956	Q2VWA4	PF02437;PF08782
5957	Q9H788	PF00017
5958	Q6ZMZ3	PF00435;PF10541
5959	P51687	PF00173;PF00174;PF03404
5960	Q9NYW2	PF05296
5961	Q9NR31	PF00025
5962	Q9UQ13	PF13855
5963	O75094	PF00008;PF01462;PF01463;PF02210;PF13855
5964	Q8TF72	PF00595;PF08687;PF08688
5965	P48553	PF12584
5966	Q7Z5A7	PF12020
5967	Q86SZ2	PF04051
5968	Q92736	PF00520;PF00622;PF01365;PF02026;PF02815;PF06459;PF08454;PF08709
5969	Q13183	PF00939
5970	P0CL83	
5971	Q8IVM8	PF07690
5972	Q92844	PF12845
5973	Q8WVM7	PF08514
5974	Q9P2P6	PF00225;PF00498;PF01852
5975	Q9Y3Q8	PF01166
5976	P29083	PF02002;PF08271;PF11521
5977	O95932	PF00868;PF00927;PF01841
5978	P21980	PF00868;PF00927;PF01841
5979	O95411	
5980	Q9BQQ7	PF13695
5981	Q66K80	
5982	P08579	PF00076
5983	Q6ZNE9	PF02759
5984	Q8WTV1	PF05485
5985	Q9NVV9	PF05485
5986	Q7Z6K1	PF05485
5987	Q53EQ6	PF03184;PF03221;PF04218
5988	P20226	PF00352
5989	Q13207	PF00907;PF12598
5990	Q96SF7	PF00907
5991	Q9H7E2	PF00567;PF00627;PF08585
5992	Q99594	PF01285;PF17725
5993	Q9UIK5	PF07648
5994	Q7L2K0	PF15764
5995	Q15696	PF00076;PF00642
5996	Q14656	PF15100
5997	Q9Y385	PF00179
5998	Q8N2K1	PF00179
5999	Q9BRP9	
6000	Q9H832	PF00179
6001	Q8WV48	
6002	Q96JN2	
6003	Q13705	PF00069;PF01064
6004	Q5VUJ5	PF01412;PF12796
6005	O75493	PF00194
6006	Q9Y2C3	PF01762
6007	Q9H159	PF00028;PF01049
6008	A0A140G945	PF00011;PF00525
6009	Q9HA72	PF14798
6010	Q96P48	PF00169;PF00536;PF00620;PF00788;PF01412
6011	Q6UX72	PF01762
6012	O95471	PF00822
6013	P55008	
6014	Q8N6T3	PF01412
6015	Q9HCE6	PF00621
6016	P68400	PF00069
6017	Q5TGI0	PF17171;PF17172
6018	Q14749	PF13649
6019	Q7Z7B8	PF13841
6020	Q8N136	PF00400
6021	Q92837	PF05350
6022	Q92637	PF13895
6023	P12318	PF13895
6024	Q7L513	PF13895
6025	P0DPP9	
6026	Q9UK59	PF00149;PF05011
6027	Q04760	PF00903
6028	P06756	PF00357;PF01839;PF08441
6029	P43243	
6030	P41134	PF00010
6031	P05155	PF00079
6032	Q14703	PF00082
6033	O43772	PF00153
6034	Q96NR2	
6035	P01860	PF07654
6036	P34932	PF00012
6037	O95998	
6038	Q4AE62	PF00534;PF12038
6039	P46020	PF00723
6040	Q8N2Q7	PF00135
6041	Q9Y623	PF00063;PF01576;PF02736
6042	Q9H6N6	PF01576
6043	P21359	PF00616;PF13716
6044	Q5QGS0	PF15735
6045	Q53H76	PF00151
6046	Q9Y605	PF15155
6047	Q96Q06	PF03036
6048	P62140	PF00149;PF16891
6049	P05423	PF05132
6050	Q9P015	PF00828
6051	Q9H6Y7	PF02225;PF13639
6052	Q8IYW5	
6053	Q5TA31	PF00097
6054	Q96NR8	PF00106
6055	Q9Y272	PF00071
6056	Q15269	PF00400;PF04003
6057	P30566	PF00206;PF10397
6058	Q9BYZ8	PF00059
6059	P48382	PF02257;PF14621;PF18326
6060	O95980	PF07648
6061	Q8IZJ4	PF00617
6062	P07919	PF02320
6063	P0DJD1	PF00638;PF01465;PF16704
6064	P12272	PF01279
6065	Q9HC21	PF00153
6066	P55327	PF04201
6067	Q1ZZU3	PF07061
6068	Q99909	PF09514
6069	P23975	PF00209
6070	O60225	PF09514
6071	P41440	PF01770
6072	Q8TBR4	PF08514
6073	Q9Y345	PF00209
6074	Q9NPB0	PF10260
6075	Q86Y82	PF05739;PF14523
6076	Q8IZP1	PF00566
6077	Q96DZ7	PF05805
6078	Q9C0I4	PF00090
6079	P62380	PF00352
6080	Q9NQE7	PF05577
6081	Q7Z4L5	PF13181
6082	Q9NPG3	PF08729;PF14075
6083	Q96P47	PF00071;PF01412;PF12796
6084	Q8NEV1	PF00069
6085	P12645	PF00019;PF00688
6086	P84077	PF00025
6087	Q86Y28	PF08180
6088	Q9NWW5	PF15156
6089	Q7LBR1	PF03357
6090	Q9H2U9	PF00200;PF01421;PF01562;PF08516
6091	O75319	PF00782
6092	Q6NSI3	PF15242
6093	Q05397	PF00373;PF03623;PF07714;PF18038
6094	Q7L5A8	PF00173;PF04116
6095	P0C841	
6096	Q9Y692	PF01342
6097	O94887	PF00169;PF00373;PF00621;PF08736;PF09379;PF09380
6098	Q96A11	PF06990
6099	P08754	PF00503
6100	Q12952	PF00250
6101	A6NH13	
6102	P78545	PF00178;PF02198
6103	P50570	PF00169;PF00350;PF01031;PF02212
6104	Q96AV8	PF02319
6105	P02794	PF00210
6106	Q96NE9	PF00373;PF09379;PF09380
6107	Q9P2Q2	PF00373;PF09379;PF09380;PF11819
6108	Q96MC6	PF07690
6109	P55081	PF06991
6110	Q53G44	PF01926
6111	Q8N6C5	PF00047;PF13895
6112	P43632	PF00047
6113	Q9BVR0	PF06701
6114	Q99871	
6115	Q96D42	PF07686
6116	Q9NS86	PF05147
6117	O43813	PF05147
6118	Q96HE9	
6119	Q93100	PF00723
6120	Q8N4C8	PF00069;PF00780
6121	P38484	PF01108;PF09294
6122	Q9BUA6	PF13405
6123	O00159	PF00063;PF00612;PF06017
6124	Q8WZA1	PF03071;PF15711
6125	Q15126	PF04275
6126	Q8N565	PF15812
6127	P22695	PF00675;PF05193
6128	Q7Z3J3	PF00638;PF01465;PF16704
6129	Q9UDW1	PF05365
6130	A0A096LP55	PF02320
6131	Q9BZI7	PF03467
6132	O14827	PF00169;PF00617;PF00618;PF00621
6133	P35236	PF00102
6134	Q15257	PF03095
6135	O43173	PF00777
6136	Q9NRA2	PF07690
6137	Q7RTT6	PF09514
6138	Q5PRF9	PF00536
6139	Q9NTJ3	PF02463;PF06470
6140	Q9UHJ3	PF00536;PF02820;PF12140
6141	O95104	PF00076;PF04818
6142	Q6T423	PF07690
6143	Q9UGH3	PF00860
6144	Q8TDW4	PF04184
6145	Q9H2D6	PF00169
6146	Q9H2K8	PF00069
6147	P40879	PF00916;PF01740
6148	P49675	PF01852
6149	Q9BUF5	PF00091;PF03953
6150	Q8TCJ2	PF02516
6151	O14662	PF00804;PF05739
6152	P52657	PF02268;PF02751
6153	P01137	PF00019;PF00688
6154	O43752	PF05739;PF09177
6155	Q9BZR6	PF13855
6156	P59536	PF05296
6157	Q9NQC3	PF02453
6158	Q01085	PF00076
6159	Q6J9G0	PF07714
6160	Q96DX8	PF13695
6161	Q14D33	PF13695
6162	Q9Y6J8	PF00581;PF00782
6163	Q9UBH6	PF03105;PF03124
6164	Q2M2D7	PF00566
6165	Q8WXA3	PF01363;PF02759
6166	Q495A1	PF07686
6167	Q4W5G0	PF03184;PF03221;PF04218
6168	Q96T51	PF01363;PF02759
6169	Q6P087	PF00849
6170	Q96GQ5	PF04884
6171	Q8TEA7	PF00069;PF00566;PF00581
6172	P36402	PF00505;PF08347
6173	A0A0J9YWX3	
6174	A0A0J9YX06	
6175	Q8TB05	
6176	Q9UM01	PF13520
6177	A0A087WV62	PF07686
6178	A0A0B4J248	PF07686
6179	Q13107	PF00443;PF06337;PF14836
6180	Q13261	
6181	P17535	PF00170;PF03957
6182	Q15323	PF00038
6183	O14558	PF00011;PF00525
6184	P40926	PF00056;PF02866
6185	Q5HYC2	
6186	Q86WU2	PF01565;PF02913
6187	O95528	PF00083
6188	P19105	PF08976;PF13405
6189	Q14145	PF00651;PF01344;PF07707
6190	O14950	PF08976;PF13405
6191	P01721	PF07686
6192	P10253	PF00088;PF01055;PF13802;PF16863
6193	A0A075B6I3	PF07686
6194	Q9Y4Z2	PF00010
6195	O95868	
6196	P16581	PF00008;PF00059;PF00084
6197	P80748	PF07686
6198	A0A0A0MS00	PF07686
6199	P55769	PF01248
6200	Q6ZRI0	PF00094;PF01826;PF05270;PF08742
6201	C9JE40	PF09770
6202	Q01804	PF02338
6203	P07237	PF00085
6204	Q9HBE1	PF00096;PF00651
6205	P16112	PF00059;PF00084;PF00193;PF07686
6206	Q96JY6	PF00412;PF00595;PF15936
6207	Q7RTY7	PF00089;PF00431
6208	Q6ZW49	PF00533;PF12738;PF16770
6209	Q16378	PF15240
6210	Q7Z3E1	PF00644
6211	Q15365	PF00013
6212	Q5FWE3	
6213	Q9P2E7	PF00028;PF08266;PF16492
6214	Q8N8Q9	PF05653
6215	P09131	PF01758
6216	Q9H158	PF00028;PF08266;PF15974;PF16492
6217	Q96QU1	PF00028;PF18432
6218	Q7Z5A4	PF00089
6219	Q9Y5G7	PF00028;PF08266;PF15974;PF16492
6220	P52952	PF00046
6221	Q9BTU6	PF00454
6222	A6NJ46	PF00046
6223	P43699	PF00046
6224	Q96LB2	PF00001
6225	Q9ULN7	PF14893
6226	O94761	PF00270;PF00271;PF11719
6227	Q96P65	PF00001
6228	Q9HD89	PF06954
6229	Q8WXH6	PF00071;PF07525
6230	Q16576	PF00400;PF12265
6231	Q96H35	PF00076
6232	P43378	PF00102;PF00650
6233	Q92922	PF00249;PF04433;PF16495;PF16496;PF16498
6234	P50452	PF00079
6235	Q92925	PF02201
6236	Q53HV7	
6237	Q9NP94	PF02535
6238	Q13326	PF04790
6239	Q8TBB6	PF13520;PF13906
6240	Q8TD33	PF01099
6241	Q8N1H7	PF15676
6242	Q08170	PF00076
6243	Q5FBB7	PF07557;PF07558
6244	Q14140	PF06031
6245	Q86WV1	PF00018;PF00169
6246	Q05066	PF00505
6247	Q9UBE0	PF00899
6248	Q8IWX5	PF01569
6249	Q8WZ04	PF01596
6250	Q8TDR2	PF00069
6251	Q8N2I9	PF00069
6252	Q15208	PF00069;PF00433
6253	Q86TN4	PF01885
6254	Q9UEW8	PF00069;PF12202
6255	Q13043	PF00069;PF11629
6256	Q9NVA4	PF03619
6257	Q9Y291	PF08293
6258	Q9BU02	PF01928
6259	O75157	PF01166
6260	O60830	
6261	O75558	PF00804
6262	Q17RB0	PF16297
6263	Q8N8U3	PF00098;PF16297
6264	P59533	PF05296
6265	Q9UNK0	PF05739
6266	P59535	PF05296
6267	Q9Y4F4	
6268	Q9Y228	
6269	Q9Y224	PF10036
6270	Q3MII6	PF00566
6271	Q96MW7	PF03184;PF03221;PF04218
6272	Q92526	PF00118
6273	Q14938	PF00859;PF03165;PF10524
6274	Q9UDX5	PF10558
6275	Q8TDC0	PF05556
6276	P49721	PF00227
6277	P26038	PF00373;PF00769;PF09379;PF09380
6278	Q08AG7	PF12554
6279	O95149	PF11538
6280	P62341	PF10262
6281	O15344	PF00041;PF00622;PF00643;PF13445;PF13765;PF18568
6282	Q9NS25	PF07458
6283	Q6ZMD2	PF07690
6284	Q13275	PF01403
6285	Q13214	PF00047;PF01403
6286	P04179	PF00081;PF02777
6287	Q9BYV6	PF00643;PF13445
6288	P0CI25	PF00622;PF00643
6289	Q9BUD6	PF00090;PF06468
6290	Q92519	PF00069
6291	Q14669	PF00632
6292	P18583	PF01585
6293	Q8IV01	PF00168
6294	Q99523	PF15901;PF15902
6295	Q12884	PF00326;PF00930
6296	Q9BQS2	PF00168
6297	P22528	
6298	P52788	PF17284;PF17950
6299	Q9H7F4	PF10269
6300	Q96AH0	
6301	Q9NRY2	PF15925
6302	Q68CR1	PF08238
6303	O43236	PF00735
6304	O43581	PF00168
6305	Q16181	PF00735
6306	Q9H4B7	PF00091;PF03953
6307	Q8IZ69	PF05958
6308	P56693	PF00505;PF12444
6309	P35711	PF00505
6310	O15270	PF00155
6311	P59543	PF05296
6312	P08047	PF00096
6313	Q9BQ16	PF00086;PF07648;PF10591
6314	Q8NEQ6	PF15547
6315	Q12772	PF00010
6316	Q5VU36	PF14650;PF15371
6317	A1L4H1	PF00530
6318	Q9NTN3	PF03151
6319	P0DMP2	PF00611
6320	A4D0T7	PF15873
6321	Q8N808	PF00892
6322	Q9NVC3	PF01490
6323	O75264	PF15807
6324	P43489	PF00020
6325	O95562	PF04178
6326	Q504Y0	PF02535;PF18292
6327	Q9ULF5	PF02535
6328	Q9NWF4	PF06237
6329	O95968	PF01099
6330	Q8NFQ8	PF05609
6331	Q9HAB3	PF06237
6332	Q8N6T7	PF02146
6333	Q05519	PF00076
6334	P0C7M3	
6335	O15304	PF05458
6336	Q9NTJ5	PF02383
6337	Q8IZS6	PF03645
6338	O75563	PF00018;PF00169
6339	Q15477	PF00270;PF00271;PF08148;PF13234;PF17911
6340	Q04837	PF00436
6341	Q5T5P2	PF03915
6342	Q9Y3Z3	PF01966;PF07647
6343	Q1RMZ1	PF11968
6344	Q6NUJ1	PF02199;PF03489;PF05184
6345	P51571	PF05404
6346	P35346	PF00001
6347	P78324	PF07654;PF07686
6348	P17752	PF00351
6349	Q9ULQ1	PF00520
6350	Q8IYX7	
6351	P62308	PF01423
6352	Q7RTT5	PF09514
6353	P53794	PF00474
6354	Q5VUG0	PF00536;PF02820;PF12140
6355	O00204	PF00685
6356	Q7RTT3	PF09514
6357	Q92791	
6358	Q9Y365	PF01852
6359	P09661	
6360	Q9NZ09	
6361	P41226	PF00899;PF09358;PF10585;PF16190;PF16191
6362	Q8N8P6	
6363	O14907	PF00595
6364	Q9Y4E8	PF00443;PF06337;PF14533;PF14836
6365	O94782	PF00443
6366	Q9Y2K6	PF00443;PF02148;PF06337
6367	Q9UPT9	PF00443;PF02148
6368	Q96K76	PF00443
6369	O60765	PF00096;PF01352;PF16622
6370	Q9Y493	PF00094;PF00629;PF01826;PF08742;PF12714
6371	Q9BZV1	PF00789;PF09409
6372	A8MTW9	
6373	O95551	PF03372
6374	Q5D1E8	PF11977;PF18039;PF18561
6375	Q9H5J0	PF00096;PF00651
6376	Q5TFG8	
6377	Q8TAI1	
6378	Q96G27	PF11669
6379	P17010	PF00096;PF04704
6380	P07478	PF00089
6381	Q9NQC8	PF12317
6382	P30301	PF00230
6383	Q96CB8	PF00628
6384	Q96HW7	PF12765
6385	P23677	PF03770
6386	P07948	PF00017;PF00018;PF07714
6387	Q08493	PF00233;PF18100
6388	P47972	PF00354
6389	P03923	PF00499
6390	Q9Y5H1	PF00028;PF08266;PF15974;PF16492
6391	P17980	PF00004;PF16450;PF17862
6392	O60330	PF00028;PF08266;PF15974;PF16492
6393	Q2L4Q9	PF00089
6394	Q96JQ0	PF00028
6395	P43686	PF00004;PF16450;PF17862
6396	Q9Y5E6	PF00028;PF08266;PF16492
6397	O15226	PF01424;PF01585
6398	A6NEY8	PF04073
6399	Q12986	PF01422;PF01424
6400	Q6R327	PF14663;PF14664;PF14665;PF14666;PF14668
6401	O95153	PF07653;PF14604
6402	Q96A37	PF05605;PF18574
6403	Q9UQ26	PF00168;PF02318;PF17820
6404	Q6ZRF8	PF00097;PF00643
6405	P07998	PF00074
6406	Q96AH8	PF00071
6407	P17706	PF00102
6408	Q6NUK1	PF00153;PF13499
6409	A0A1B0GVT2	
6410	Q587I9	PF04178
6411	Q9UHB9	PF16969
6412	P78539	PF00084;PF02494;PF13778
6413	Q9UHV2	PF06031
6414	Q8IX90	
6415	Q1XH10	PF02437;PF15223
6416	Q562F6	
6417	Q2NKQ1	PF00566;PF02759;PF12068
6418	Q9UQQ2	PF00017;PF00169;PF08916
6419	Q5SQS7	PF00017
6420	Q92835	PF00017;PF03372
6421	Q9NR46	PF03114;PF14604
6422	P43308	
6423	P09758	PF00086
6424	Q9Y2B1	
6425	O00268	PF05236;PF07531
6426	O15260	PF02077
6427	Q96BU1	PF15427
6428	Q13621	PF00324;PF03522;PF08403
6429	A0A0J9YXA8	
6430	Q8TD47	PF00467;PF00900;PF08071;PF16121
6431	Q15562	PF01285;PF17725
6432	Q9NYB0	PF08914;PF11626;PF16589
6433	Q9Y2C9	PF01463;PF01582;PF13855
6434	Q5T9Z0	PF04819
6435	Q8N9M5	PF03281
6436	Q86SX3	PF14970;PF14971
6437	P62847	PF01282
6438	A2RRL7	PF15192
6439	Q68D42	PF15746
6440	Q9P2C4	
6441	Q9NUQ7	PF07910
6442	Q9BZF9	PF12796
6443	P62253	PF00179
6444	O43543	PF08423
6445	Q6ZUG5	
6446	Q712K3	PF00179
6447	P11684	PF01099
6448	Q9NYH9	PF08640
6449	Q13112	PF00400;PF15512
6450	Q8IZU0	PF04803
6451	Q14320	PF04921
6452	Q5TZK3	
6453	D6RGX4	PF15288
6454	P60022	PF00711
6455	P27469	PF15103
6456	O60547	PF16363
6457	Q52LJ0	PF10239
6458	Q6GMR7	PF01425
6459	Q14154	PF08238
6460	P29992	PF00503
6461	P05413	PF00061
6462	Q30KQ5	
6463	Q92990	PF08568
6464	Q99538	PF01650
6465	Q7Z5L9	PF11261
6466	O75564	PF03184;PF03221;PF04218
6467	P69905	PF00042
6468	O60259	PF00089
6469	Q3LI62	
6470	P14780	PF00040;PF00045;PF00413;PF01471
6471	Q3LI73	PF11759
6472	Q15345	
6473	Q9H427	PF07885
6474	Q50LG9	PF13855
6475	P62807	PF00125
6476	P58876	PF00125
6477	P06899	PF00125
6478	Q9NVR5	PF08190;PF18201
6479	P10914	PF00605
6480	Q86VS8	PF05622
6481	Q8WV74	PF00293
6482	P16233	PF00151;PF01477
6483	Q86U28	PF01521
6484	Q5VYY2	PF00561
6485	Q969F9	PF14761;PF14762;PF14763
6486	Q96JK9	PF09596
6487	P00739	PF00089
6488	P02008	PF00042
6489	Q9H478	
6490	Q2M2Z5	
6491	O95835	PF00069;PF00627
6492	Q9UHI5	PF13520
6493	P57764	PF04598;PF17708
6494	Q8NEE0	
6495	Q92539	PF04571;PF08235;PF16876
6496	Q6UWE0	PF07647;PF13855
6497	Q6ZMR3	PF00056;PF02866
6498	P31152	PF00069
6499	Q27J81	PF02181;PF02205;PF06367;PF06371
6500	Q9NTI7	PF15342
6501	Q9BUL5	PF00628
6502	P53602	PF00288;PF18376
6503	Q9UI40	PF01699
6504	O00634	PF00053;PF00055;PF01759
6505	P35749	PF00063;PF01576;PF02736
6506	Q96H55	PF00063
6507	Q7RTY0	PF07690
6508	Q9UKD2	PF00466;PF17777
6509	Q7L1V2	PF03164
6510	A1L4L8	PF04749
6511	P41227	PF00583
6512	Q86UY6	PF00583
6513	Q9Y388	PF00076
6514	P08575	PF00041;PF00102;PF12453;PF12567
6515	Q9UHP9	PF15355
6516	Q6AI14	PF00999;PF16644
6517	Q495Y8	PF11357
6518	P25445	PF00020;PF00531
6519	P37108	PF02290
6520	Q02223	PF09257
6521	Q8N6T0	PF15091
6522	Q8IVJ1	PF01769
6523	Q9Y6E7	PF02146
6524	Q6XE38	PF01099
6525	Q5JXA9	PF07686
6526	O43865	PF00670;PF05221
6527	O43776	PF00152;PF01336
6528	Q9NXZ1	PF15300
6529	P55822	PF04908
6530	Q96BN2	PF12767
6531	O94885	PF00536;PF07647;PF07653;PF12485
6532	A6NGA9	
6533	Q8N1F8	PF15904
6534	Q7RTT4	PF01352;PF09514
6535	O43699	PF00047;PF07679;PF07686
6536	O75695	PF07986
6537	Q12870	PF00010
6538	Q9UJW2	PF00112;PF01033
6539	Q9UMX1	PF05076;PF12470
6540	P0DPI4	
6541	P22314	PF00899;PF09358;PF10585;PF16190;PF16191
6542	P12956	PF02037;PF02735;PF03730;PF03731
6543	Q15819	PF00179
6544	Q9BSL1	PF00627
6545	Q6ZVH6	
6546	Q8IYB0	
6547	Q5T230	
6548	Q8TCU5	PF00060;PF10613
6549	C9JFL3	
6550	A5LHX3	PF00227
6551	Q8N5Y2	PF05712;PF11717
6552	O43482	PF03226
6553	Q8N3E9	PF00168;PF00387;PF00388;PF14788
6554	A0JP26	PF12796;PF14915
6555	Q7Z6Z6	PF01734
6556	Q6P444	PF05308
6557	Q01851	PF00046;PF00157
6558	A8MPX8	PF00481
6559	O43692	PF00188
6560	P43119	PF00001
6561	P15941	PF01390
6562	Q8WYR1	PF10486
6563	Q8N8J0	
6564	Q9NP85	PF01145
6565	P60510	PF00149
6566	P63136	PF00075;PF00078;PF00552;PF00665;PF02022;PF06817
6567	Q14651	PF00307;PF13499
6568	Q9NY27	PF09184
6569	Q8TF05	PF02985;PF15017
6570	P63128	PF00077;PF00078;PF00098;PF00607;PF00692;PF01585;PF02337
6571	Q8IZP6	PF00642
6572	Q14442	PF10181
6573	Q9BRB3	PF05024
6574	Q8TEQ8	PF01663
6575	Q96S52	PF10510
6576	Q9H490	PF06728
6577	Q03181	PF00104;PF00105
6578	Q8WWB5	PF08190;PF18201
6579	P05187	PF00245
6580	P10696	PF00245
6581	Q9UKJ1	PF07686
6582	Q9UKJ0	PF07686
6583	Q4J6C6	PF00326;PF02897
6584	Q9HAB8	PF04127
6585	Q9UKL6	PF01852
6586	Q9P1W9	PF00069
6587	Q8IXM3	PF09809
6588	P10619	PF00450
6589	P22061	
6590	Q8N983	PF05047
6591	Q96GC5	PF00338
6592	Q08752	PF00160;PF13176
6593	Q9UNP9	PF00076;PF00160
6594	Q9Y237	
6595	Q13427	PF00160
6596	Q9BXM7	PF00069
6597	Q13356	PF00160
6598	Q9H307	PF04696;PF04697
6599	Q9UIW2	PF01403;PF01437;PF01833;PF08337;PF17960;PF18020
6600	Q9H2H8	PF00160
6601	P0C851	PF15099
6602	P26678	PF04272
6603	Q8TCE9	PF00337
6604	Q9UG56	PF02666
6605	P35813	PF00481;PF07830
6606	O15297	PF00481
6607	Q8WY54	PF00481
6608	O75688	PF00481;PF07830
6609	Q9ULR3	PF00481
6610	Q9GZP4	PF06201
6611	Q5JR12	PF00481
6612	O00562	PF02121;PF02862
6613	Q96DB5	
6614	Q9BZ72	PF02121;PF02862
6615	Q8N3J5	PF00481
6616	Q9Y253	PF00817;PF11799;PF18439
6617	Q9BZ71	PF02862
6618	Q9H871	PF10607;PF13445
6619	Q99697	PF00046;PF03826
6620	P18124	PF00327;PF08079
6621	Q8TC59	PF02170;PF02171;PF08699
6622	O43164	PF13639
6623	Q7Z442	PF00059;PF01477;PF01825;PF02010;PF02140;PF08016
6624	Q504Y2	PF12260
6625	Q8NG27	PF13639
6626	Q9UD71	PF05395
6627	Q96LQ0	PF14895
6628	Q6ZSY5	PF03370
6629	P08F94	PF01833;PF10162;PF13229
6630	Q53GL0	PF00169
6631	Q8TD55	PF00169
6632	Q13835	PF00514
6633	Q99575	PF06978;PF08170
6634	Q9Y446	PF00514
6635	Q9HBU9	PF04831
6636	P09651	PF00076;PF11627
6637	Q9BQY4	PF00046
6638	Q14872	PF00096
6639	Q2KHM9	PF15718
6640	Q6ZWK4	PF15763
6641	Q59GN2	PF00832
6642	Q9BUL9	PF01918
6643	Q8TBN0	PF06428
6644	P0C7M4	PF00046
6645	Q9Y3T6	PF01424
6646	Q99942	
6647	P98171	PF00018;PF00611;PF00620
6648	Q8TDU9	PF00001
6649	O43182	PF00620
6650	P78346	PF01876
6651	Q96QB1	PF00620;PF01852;PF07647
6652	A1A4S6	PF00169;PF00620;PF14604
6653	Q96B01	PF15696
6654	Q8IWW6	PF00169;PF00620;PF14604
6655	Q09MP3	PF15696
6656	P62277	PF00312;PF08069
6657	Q6MZT1	
6658	Q96E39	PF00076;PF08081
6659	O00237	PF13639
6660	Q6ZNA4	PF13639;PF15303
6661	O43502	PF08423
6662	Q5T5U3	PF00620;PF15410;PF17820
6663	P49207	PF01199
6664	Q7Z5H3	PF00169;PF00620
6665	Q9Y4L5	PF13639
6666	Q9P227	PF00620;PF15410;PF17820
6667	Q8N264	PF00169;PF00620
6668	Q5XPI4	PF00622
6669	Q96EQ8	PF05605;PF18574
6670	P42331	PF00169;PF00620
6671	Q8TEB7	PF02225;PF13639
6672	Q52LW3	PF00130;PF00620
6673	Q7Z6I6	PF00620
6674	Q9HAU8	PF01433;PF09127
6675	Q8WU17	PF13639;PF13705
6676	A7KAX9	PF00620;PF00787;PF14604
6677	O14559	PF00620;PF07653
6678	Q96MT1	PF13639;PF13705
6679	Q9NTX7	PF02825
6680	Q6ZRI8	PF00620
6681	P59190	PF00071
6682	Q8N7C7	PF02225;PF13639
6683	Q5TG30	PF00620
6684	Q5GAN6	PF00074
6685	Q9ULK6	PF02225;PF13639
6686	Q8TAA1	PF00074
6687	Q5GAN4	PF00074
6688	Q8N8N0	PF14634
6689	A4D1S5	PF00071
6690	Q6ZSG1	PF13639
6691	Q9UJD0	PF00168
6692	Q8NCN4	
6693	P83731	PF01246
6694	Q9H0U4	PF00071
6695	Q9H426	PF00168
6696	Q96K19	PF00097;PF06803
6697	Q96P16	PF04818;PF16566
6698	Q92928	PF00071
6699	Q9P0P0	PF13639
6700	Q8WYP3	PF00788;PF02204
6701	Q5GAN3	PF00074
6702	P47914	PF01779
6703	Q13129	PF00096
6704	P42766	PF00831
6705	P84095	PF00071
6706	Q9HBH0	PF00071
6707	Q15669	PF00071
6708	Q8NHV9	PF00046
6709	O75116	PF00069;PF08912
6710	Q9H4K1	PF05914
6711	Q9BZX4	
6712	Q96C74	
6713	P51449	PF00104;PF00105
6714	Q5JTH9	PF08161
6715	Q9GZM3	PF13656
6716	Q684P5	PF02145
6717	Q9NP72	PF00071
6718	O95755	PF00071
6719	Q9NX57	PF00071
6720	O95716	PF00071
6721	Q969X0	PF11461
6722	Q13610	PF00400
6723	P35249	PF00004;PF08542
6724	Q02543	PF01775
6725	Q86YS3	PF09457
6726	Q9BXF6	PF00168;PF09457
6727	Q96FE5	PF07679;PF13306;PF13855
6728	P01876	PF07654
6729	Q9ULG3	PF15084
6730	A6BM72	PF00053;PF12661
6731	Q15013	PF06581
6732	Q9NPH3	PF01582;PF18452
6733	Q8N485	PF14954
